CCTV-1,rtp://239.254.200.45:8008
衡水公共,rtp://239.254.200.149:6000
邢台综合,rtp://239.254.200.150:6000
邢台城市生活,rtp://239.254.200.152:6000
邯郸新闻综合,rtp://239.254.200.153:6000
邯郸公共,rtp://239.254.200.154:6000
邯郸科技教育,rtp://239.254.200.155:6000
湖南卫视,rtp://239.254.200.48:8012
浙江卫视,rtp://239.254.200.53:8036
江苏卫视,rtp://239.254.200.51:8028
安徽卫视,rtp://239.254.200.163:6000
东南卫视,rtp://239.254.201.13:6291
北京卫视,rtp://239.254.200.47:8024
天津卫视,rtp://239.254.200.54:1234
辽宁卫视,rtp://239.254.200.57:8056
山东卫视,rtp://239.254.200.55:8052
云南卫视,rtp://239.254.200.68:8108
河南卫视,rtp://239.254.201.16:7174
黑龙江卫视,rtp://239.254.200.49:8016
四川卫视,rtp://239.254.200.202:6325
江西卫视,rtp://239.254.201.12:6290
贵州卫视,rtp://239.254.201.20:6315
深圳卫视,rtp://239.254.200.50:8020
湖北卫视,rtp://239.254.200.164:6000
东方卫视,rtp://239.254.200.52:8032
重庆卫视,rtp://239.254.200.203:6323
山西卫视,rtp://239.254.200.83:8172
广东卫视,rtp://239.254.200.56:8048
广西卫视,rtp://239.254.200.80:8300
吉林卫视,rtp://239.254.201.15:6339
陕西卫视,rtp://239.254.200.82:8140
内蒙古卫视,rtp://239.254.200.84:8176
青海卫视,rtp://239.254.200.85:8184
海南卫视,rtp://239.254.201.125:6288
宁夏卫视,rtp://239.254.200.87:8124
西藏卫视,rtp://239.254.200.88:8164
新疆卫视,rtp://239.254.200.89:8160
甘肃卫视,rtp://239.254.200.90:8188
kaku少儿,rtp://239.254.200.91:9248
金鹰卡通,rtp://239.254.200.92:9252
嘉佳卡通,rtp://239.254.201.201:7269
优漫卡通,rtp://239.254.201.203:7178
山东教育,rtp://239.254.200.247:4120
纪实人文高清,rtp://239.254.200.58:8060
CETV-1高清,rtp://239.254.200.225:6259
BTV冬奥纪实,rtp://239.254.200.188:6311
金鹰纪实高清,rtp://239.254.200.189:6293
电视指南,rtp://239.254.200.142:6256
第一剧场,rtp://239.254.200.93:6227
风云剧场,rtp://239.254.200.94:6228
怀旧剧场,rtp://239.254.200.95:6229
风云音乐,rtp://239.254.200.96:6230
风云足球,rtp://239.254.200.97:6231
高尔夫网球,rtp://239.254.200.98:6232
天元围棋,rtp://239.254.201.156:6270
武术世界,rtp://239.254.200.100:6234
兵器科技,rtp://239.254.200.101:6235
世界地理,rtp://239.254.200.102:6236
老故事,rtp://239.254.200.104:6237
环球奇观,rtp://239.254.200.105:6238
文物宝库,rtp://239.254.200.106:6239
国学,rtp://239.254.200.107:6255
茶频道,rtp://239.254.200.228:6258
女性时尚,rtp://239.254.200.110:6241
文化精品,rtp://239.254.200.111:6251
早期教育,rtp://239.254.200.114:6244
快乐垂钓,rtp://239.254.200.229:6257
书画,rtp://239.254.200.217:6267
摄影,rtp://239.254.200.119:6246
梨园,rtp://239.254.200.120:6247
靓妆,rtp://239.254.200.122:6249
汽摩,rtp://239.254.200.103:6252
CETV-2,rtp://239.254.200.226:6260
CETV-4,rtp://239.254.200.227:6261
游戏竞技,rtp://239.254.201.157:6269
中学生,rtp://239.254.200.113:6243
新动漫,rtp://239.254.201.158:7170
网络棋牌,rtp://239.254.201.159:7169
先锋乒羽,rtp://239.254.201.160:7172
环球旅游,rtp://239.254.201.161:6264
车迷,rtp://239.254.201.162:6266
游戏风云,rtp://239.254.201.163:6354
欢笑剧场,rtp://239.254.201.164:6355
全纪实,rtp://239.254.201.200:6356
动漫秀场,rtp://239.254.201.165:6358
生活时尚,rtp://239.254.201.166:6359
都市剧场,rtp://239.254.201.167:6360
极速汽车,rtp://239.254.201.168:6362
足球频道,rtp://239.254.201.169:6341
体育赛事,rtp://239.254.201.170:8176
央视台球,rtp://239.254.201.171:7176
冰雪体育,rtp://239.254.201.172:7244
马拉松,rtp://239.254.201.173:7246
每日健身,rtp://239.254.201.174:7245
音像世界（DOXTV）,rtp://239.254.201.175:7243
求索纪录,rtp://239.254.201.176:7221
陶瓷,rtp://239.254.201.21:7175
七彩戏剧,rtp://239.254.201.180:7213
东方财经,rtp://239.254.201.181:7214
金色学堂,rtp://239.254.201.182:7227
法治天地,rtp://239.254.201.183:7226
中华特产,rtp://239.254.201.184:6263
四海钓鱼,rtp://239.254.201.185:6363
优优宝贝,rtp://239.254.201.186:6272
生态环境,rtp://239.254.201.187:6226
家庭理财,rtp://239.254.201.188:6366
财富天下,rtp://239.254.200.124:6370
中华美食,rtp://239.254.201.189:7171
电视指南高清,rtp://239.254.201.217:7250
第一剧场高清,rtp://239.254.201.218:7258
风云剧场高清,rtp://239.254.201.219:7257
怀旧剧场高清,rtp://239.254.201.220:7256
风云音乐高清,rtp://239.254.201.221:7259
风云足球高清,rtp://239.254.201.222:7251
高尔夫网球高清,rtp://239.254.201.223:7252
武术世界高清,rtp://239.254.201.224:7229
兵器科技高清,rtp://239.254.201.225:7249
世界地理高清,rtp://239.254.201.226:7254
文物宝库高清,rtp://239.254.201.227:7230
女性时尚高清,rtp://239.254.201.228:7255
文化精品高清,rtp://239.254.201.229:7260
早期教育高清,rtp://239.254.201.230:7253
梨园高清,rtp://239.254.201.231:7228
CCTV4中文国际欧洲,rtp://239.254.201.205:4220
CCTV4中文国际美洲,rtp://239.254.201.206:4220
CGTN 英文记录,rtp://239.254.201.208:4220
CGTN 西班牙语,rtp://239.254.201.209:4220
CGTN 法语,rtp://239.254.201.210:4220
CGTN 阿拉伯语,rtp://239.254.201.211:4220
CGTN 俄语,rtp://239.254.201.212:4220
凤凰卫视电影台,rtp://239.254.201.1:5214
凤凰卫视中文台,rtp://239.254.201.2:5226
凤凰卫视资讯台,rtp://239.254.201.3:5227
中国交通频道,rtp://239.254.201.110:5181
元氏电视,rtp://239.254.200.191:5169
无极电视,rtp://239.254.200.220:5167
高邑电视,rtp://239.254.201.24:5170
栾城电视,rtp://239.254.200.215:5173
井陉矿区电视,rtp://239.254.201.14:5175
赞皇电视,rtp://239.254.200.244:5177
深泽电视,rtp://239.254.201.108:5180
赵县电视,rtp://239.254.201.111:5183
晋州电视,rtp://239.254.201.127:5184
井陉电视,rtp://239.254.201.215:6167
平泉电视,rtp://239.254.200.177:5286
滦平电视,rtp://239.254.201.4:5291
双滦电视,rtp://239.254.201.63:5293
兴隆电视,rtp://239.254.201.95:5295
隆化电视,rtp://239.254.201.142:5296
鹿泉电视,rtp://239.254.201.204:6166
任县电视,rtp://239.254.201.115:5381
邯山电视,rtp://239.254.201.116:5225
崇礼电视,rtp://239.254.201.117:5267
顺平电视,rtp://239.254.201.118:6257
张北电视,rtp://239.254.201.130:5271
邱县电视,rtp://239.254.201.129:6209
赤城电视,rtp://239.254.201.131:5269
康保电视,rtp://239.254.201.135:5270
遵化电视,rtp://239.254.201.146:5202
昌黎电视,rtp://239.254.201.61:5230
抚宁电视,rtp://239.254.201.213:5232
卢龙电视,rtp://239.254.201.216:5233
丰南电视,rtp://239.254.200.218:5186
迁西电视,rtp://239.254.201.26:5188
滦南电视,rtp://239.254.201.22:5191
玉田电视,rtp://239.254.201.28:5194
滦州电视,rtp://239.254.201.30:5196
香河电视,rtp://239.254.201.32:5306
大城电视,rtp://239.254.201.34:5308
大厂电视,rtp://239.254.201.71:5310
固安电视,rtp://239.254.201.101:5312
文安电视,rtp://239.254.201.103:5314
三河电视,rtp://239.254.201.113:5315
永清电视,rtp://239.254.201.141:5316
成安电视,rtp://239.254.201.143:6210
魏县电视,rtp://239.254.201.148:6211
霸州电视,rtp://239.254.200.4:5313
渤海电视,rtp://239.254.201.35:5327
黄骅电视,rtp://239.254.201.36:5325
孟村电视,rtp://239.254.201.38:5329
东光电视,rtp://239.254.201.76:5331
青县电视,rtp://239.254.201.112:5333
盐山电视,rtp://239.254.201.114:5334
南皮电视,rtp://239.254.201.119:5335
肃宁电视,rtp://239.254.201.122:5336
吴桥电视,rtp://239.254.201.138:5337
丰宁电视,rtp://239.254.200.5:5290
定兴电视,rtp://239.254.200.172:5246
阜平电视,rtp://239.254.201.40:5248
涞水电视,rtp://239.254.201.10:5250
满城电视,rtp://239.254.200.222:5252
涞源电视,rtp://239.254.200.213:5260
高碑店电视,rtp://239.254.200.210:5254
涿州电视,rtp://239.254.201.17:5261
唐县电视,rtp://239.254.201.41:5264
曲阳电视,rtp://239.254.200.242:5265
望都电视,rtp://239.254.201.56:6246
定州电视,rtp://239.254.201.74:6251
雄县电视,rtp://239.254.201.94:6254
高阳电视,rtp://239.254.201.96:6253
安新电视,rtp://239.254.201.99:6255
容城电视,rtp://239.254.201.102:6256
柏乡电视,rtp://239.254.201.140:5383
涿鹿电视,rtp://239.254.201.145:5272
徐水电视,rtp://239.254.201.147:6260
大名电视,rtp://239.254.201.149:6212
冀州电视,rtp://239.254.200.179:5346
安平电视,rtp://239.254.201.42:5348
景县电视,rtp://239.254.200.240:5350
饶阳电视,rtp://239.254.201.44:5353
深州电视,rtp://239.254.201.46:5357
武邑电视,rtp://239.254.201.8:5355
阜城电视,rtp://239.254.201.98:5361
故城电视,rtp://239.254.201.126:5362
枣强电视,rtp://239.254.201.136:5363
清河电视,rtp://239.254.200.170:5366
广宗电视,rtp://239.254.201.50:5373
武安电视,rtp://239.254.201.6:5216
宁晋电视,rtp://239.254.201.51:5375
平乡电视,rtp://239.254.201.53:5378
鸡泽电视,rtp://239.254.201.60:5218
隆尧电视,rtp://239.254.201.69:5379
广平电视,rtp://239.254.201.70:5220
南和电视,rtp://239.254.201.72:6000
临漳电视,rtp://239.254.201.73:5221
内丘电视,rtp://239.254.201.77:5380
涉县电视,rtp://239.254.201.97:5222
迁安电视,rtp://239.254.201.109:5199
肥乡电视,rtp://239.254.201.105:5223
馆陶电视,rtp://239.254.201.106:5224
乐亭电视,rtp://239.254.201.107:5200
沙河电视,rtp://239.254.200.181:5369
曲周电视,rtp://239.254.200.236:5210
南宫电视,rtp://239.254.201.48:5371
丰润电视,rtp://239.254.201.58:5197
羽毛球专区,rtp://239.254.201.214:7264
辅视角2-标清,rtp://239.254.201.87:6000
辅视角3-标清,rtp://239.254.201.88:6000
4k直播,rtp://239.254.200.243:6000
临时直播频道2,rtp://239.254.201.65:6000
临时直播频道3,rtp://239.254.201.66:6000
临时直播频道4,rtp://239.254.201.67:6000
临时直播频道5,rtp://239.254.201.68:6000
SLTV,rtp://239.254.201.100:5179
九屏直播频道,rtp://239.254.200.248:6000
中式八球国际公开赛,rtp://239.254.200.187:6000
