重庆卫视,rtp://235.254.198.34:1412
墨宝,rtp://235.254.198.90:1636
光影,rtp://235.254.198.91:1640
台球,rtp://235.254.198.92:1644
爱生活,rtp://235.254.198.93:1648
武术,rtp://235.254.198.94:1652
高网,rtp://235.254.198.95:1656
足球,rtp://235.254.198.96:1660
武侠剧场,rtp://235.254.198.97:1664
喜剧影院,rtp://235.254.198.98:1668
动作影院,rtp://235.254.198.99:1672
家庭影院,rtp://235.254.198.100:1676
星影,rtp://235.254.198.101:1680
CQTV新闻,rtp://235.254.196.208:1104
CCTV1,rtp://235.254.198.1:1280
CCTV2,rtp://235.254.198.2:1284
CCTV3,rtp://235.254.198.141:1842
CCTV4,rtp://235.254.198.3:1288
CCTV5,rtp://235.254.198.142:1846
CCTV6,rtp://235.254.198.143:1852
CCTV7,rtp://235.254.198.4:1292
CCTV8,rtp://235.254.198.144:1856
CCTV9,rtp://235.254.198.5:1296
CCTV10,rtp://235.254.198.6:1300
CCTV12,rtp://235.254.198.8:1308
CCTV少儿,rtp://235.254.198.10:1316
江苏卫视,rtp://235.254.198.19:1352
湖南卫视,rtp://235.254.198.17:1344
东方卫视,rtp://235.254.198.33:1408
北京卫视,rtp://235.254.198.21:1360
浙江卫视,rtp://235.254.198.18:1348
深圳卫视,rtp://235.254.198.31:1400
安徽卫视,rtp://235.254.198.20:1356
山东卫视,rtp://235.254.198.24:1372
广东卫视,rtp://235.254.198.37:1424
天津卫视,rtp://235.254.198.22:1364
四川卫视,rtp://235.254.198.28:1388
辽宁卫视,rtp://235.254.198.23:1368
黑龙江卫视,rtp://235.254.198.27:1384
贵州卫视,rtp://235.254.198.30:1396
湖北卫视,rtp://235.254.198.32:1404
河北卫视,rtp://235.254.198.128:1788
东南卫视,rtp://235.254.198.35:1416
爱上4K,rtp://235.254.198.102:7980
开县本地电视1,rtp://235.254.198.145:1870
开县本地电视2,rtp://235.254.198.148:1874
芒果TV,rtp://235.254.196.206:7980
长寿本地1,rtp://235.254.196.225:1278
长寿本地2,rtp://235.254.196.223:1282
长寿本地3,rtp://235.254.196.224:1286
音乐之声,rtp://235.254.196.128:1306
江苏晚会4K,rtp://235.254.198.147:1866
