贵州卫视,rtp://238.255.2.1:5999
浙江卫视,rtp://238.255.2.100:5999
重庆卫视,rtp://238.255.2.78:5999
安徽卫视,rtp://238.255.2.101:5999
西藏卫视藏,rtp://238.255.2.23:5999
西藏卫视汉,rtp://238.255.2.65:5999
安多卫视,rtp://238.255.2.189:5999
安顺卫视1新闻综合,rtp://238.255.2.157:5999
安顺卫视2公共频道,rtp://238.255.2.158:5999
毕节卫视1,rtp://238.255.2.131:5999
毕节卫视2,rtp://238.255.2.132:5999
娱乐频道,rtp://238.255.2.218:5999
动漫秀场,rtp://238.255.2.196:5999
都市剧场,rtp://238.255.2.194:5999
法治天地,rtp://238.255.2.190:5999
贵阳都市1,rtp://238.255.2.19:5999
贵阳都市2,rtp://238.255.2.20:5999
贵阳都市3,rtp://238.255.2.22:5999
贵州移动电视,rtp://238.255.2.117:5999
国学频道,rtp://238.255.2.176:5999
哈哈炫动,rtp://238.255.2.56:5999
湖南茶叶频道,rtp://238.255.2.192:5999
湖南快乐垂钓,rtp://238.255.2.191:5999
湖南快乐购,rtp://238.255.2.206:5999
欢笑剧场4K,rtp://238.255.2.215:5999
环球奇观,rtp://238.255.2.43:5999
黄果树瀑布直播,rtp://238.255.2.163:5999
纪实人文,rtp://238.255.2.106:5999
家有购物,rtp://238.255.2.10:5999
嘉佳卡通,rtp://238.255.2.62:5999
江苏财富天下,rtp://238.255.2.186:5999
江苏靓妆频道,rtp://238.255.2.177:5999
金鹰纪实,rtp://238.255.2.108:5999
金鹰卡通,rtp://238.255.2.55:5999
凯里卫视,rtp://238.255.2.180:5999
乐游,rtp://238.255.2.188:5999
雷山综合,rtp://238.255.2.128:5999
六盘水卫视1,rtp://238.255.2.115:5999
六盘水卫视2,rtp://238.255.2.116:5999
农林卫视,rtp://238.255.2.120:5999
汽摩频道,rtp://238.255.2.148:5999
黔东南卫视,rtp://238.255.2.179:5999
黔南卫视1,rtp://238.255.2.216:5999
黔南卫视2,rtp://238.255.2.151:5999
黔西南公共,rtp://238.255.2.127:5999
黔西南综合,rtp://238.255.2.126:5999
摄影频道,rtp://238.255.2.8:5999
生活时尚,rtp://238.255.2.193:5999
四川康巴卫视,rtp://238.255.2.140:5999
天元围棋,rtp://238.255.2.7:5999
铜仁卫视1,rtp://238.255.2.31:5999
铜仁卫视2,rtp://238.255.2.87:5999
瓮安卫视,rtp://238.255.2.201:5999
新视觉,rtp://238.255.2.195:5999
延边卫视,rtp://238.255.2.204:5999
优漫卡通,rtp://238.255.2.57:5999
游戏风云,rtp://238.255.2.197:5999
中国交通,rtp://238.255.2.220:5999
中央新影发现之旅,rtp://238.255.2.184:5999
中央新影老故事,rtp://238.255.2.35:5999
中央新影中学生,rtp://238.255.2.181:5999
遵义都市,rtp://238.255.2.154:5999
遵义公共,rtp://238.255.2.152:5999
遵义综合,rtp://238.255.2.153:5999
