CCTV1HD,rtp://225.1.8.1:8008
CCTV9,rtp://225.1.8.109:8032
CCTV10,rtp://225.1.8.110:8228
CCTV11,rtp://225.1.8.111:8040
CCTV12,rtp://225.1.8.112:8232
CCTV13,rtp://225.1.1.10:8128
CCTV14,rtp://225.1.8.114:8236
CCTV15,rtp://225.1.8.115:8052
CCTV17,rtp://225.1.8.117:8064
CGTN,rtp://225.1.8.116:8056
CETV2,rtp://225.1.8.193:4120
CETV3,rtp://225.1.8.194:4120
CETV4,rtp://225.1.8.195:4120
北京北京卫视,rtp://225.1.8.121:8002
北京国际,rtp://225.1.8.131:8002
云南卫视,rtp://225.1.8.139:8108
河南卫视,rtp://225.1.8.140:8128
四川卫视,rtp://225.1.8.142:8288
南方卫视,rtp://225.1.8.225:5008
广西卫视,rtp://225.1.8.152:8300
吉林卫视,rtp://225.1.8.153:8200
陕西卫视,rtp://225.1.8.154:8140
山西卫视,rtp://225.1.8.155:8172
内蒙古卫视,rtp://225.1.8.156:8176
青海卫视,rtp://225.1.8.157:8184
海南卫视,rtp://225.1.8.158:8304
宁夏卫视,rtp://225.1.8.159:8124
西藏卫视,rtp://225.1.8.160:8164
新疆卫视,rtp://225.1.8.161:8160
甘肃卫视,rtp://225.1.8.162:8188
厦门卫视,rtp://225.1.8.166:4120
兵团卫视,rtp://225.1.8.167:4120
山东教育卫视,rtp://225.1.8.190:4120
三沙卫视,rtp://225.1.8.78:4120
金鹰卡通,rtp://225.1.8.163:9252
财富天下,rtp://225.1.8.165:9136
嘉佳卡通,rtp://225.1.8.170:9268
IPTV收视指南,rtp://225.1.8.201:8012
IPTV热播剧场,rtp://225.1.8.202:9020
IPTV经典电影,rtp://225.1.8.203:9024
IPTV魅力时尚,rtp://225.1.8.204:9012
IPTV少儿动画,rtp://225.1.8.207:9000
城市剧场,rtp://225.1.8.227:4120
军旅剧场,rtp://225.1.8.228:4120
古装剧场,rtp://225.1.8.229:4120
音乐现场,rtp://225.1.8.230:4120
地理,rtp://225.1.8.231:4120
美妆,rtp://225.1.8.232:4120
美人,rtp://225.1.8.233:4120
精选,rtp://225.1.8.234:4120
解密,rtp://225.1.8.235:4120
军事,rtp://225.1.8.236:4120
国学,rtp://225.1.8.237:4120
戏曲,rtp://225.1.8.238:4120
早教,rtp://225.1.8.239:4120
动画,rtp://225.1.8.240:4120
好学生,rtp://225.1.8.241:4120
鉴赏,rtp://225.1.8.242:4120
墨宝,rtp://225.1.8.243:4120
光影,rtp://225.1.8.244:4120
爱生活,rtp://225.1.8.246:4120
武术,rtp://225.1.8.247:4120
高网,rtp://225.1.8.248:4120
足球,rtp://225.1.8.249:4120
武侠剧场,rtp://225.1.8.250:4120
喜剧影院,rtp://225.1.8.251:4120
动作影院,rtp://225.1.8.252:4120
家庭影院,rtp://225.1.8.253:4120
星影,rtp://225.1.8.254:4120
