辽宁卫视,rtp://232.0.0.126:1234
深圳卫视,rtp://232.0.0.110:1234
厦门卫视,rtp://232.0.0.160:1234
中国教育1,rtp://232.0.0.212:1234
CETV2,rtp://232.0.0.238:1234
CETV4,rtp://232.0.0.239:1234
山东教育卫视,rtp://232.0.0.169:1234
兵团卫视,rtp://232.0.0.67:1234
延边卫视,rtp://232.0.0.161:1234
金鹰卡通,rtp://232.0.0.90:1234
炫动卡通,rtp://232.0.0.103:1234
优漫卡通,rtp://232.0.0.159:1234
嘉佳卡通,rtp://232.0.0.157:1234
卡酷少儿,rtp://232.0.0.57:1234
金鹰纪实,rtp://232.0.0.163:1234
北京冬奥纪实,rtp://232.0.0.162:1234
上海纪实,rtp://232.0.0.132:1234
CCTV-4欧洲,rtp://232.0.0.53:1234
CCTV-4美洲,rtp://232.0.0.59:1234
西藏卫视（藏语）,rtp://232.0.0.104:1234
安多藏语综合,rtp://232.0.0.105:1234
康巴藏语综合,rtp://232.0.0.109:1234
电视指南,rtp://232.0.0.91:1234
证券服务,rtp://232.0.0.152:1234
新动漫,rtp://232.0.0.65:1234
家庭理财,rtp://232.0.0.19:1234
网络棋牌,rtp://232.0.0.64:1234
第一剧场,rtp://232.0.0.29:1234
怀旧剧场,rtp://232.0.0.38:1234
风云剧场,rtp://232.0.0.45:1234
风云足球,rtp://232.0.0.52:1234
风云音乐,rtp://232.0.0.47:1234
央视台球,rtp://232.0.0.60:1234
央视文化精品,rtp://232.0.0.56:1234
世界地理,rtp://232.0.0.63:1234
兵器科技,rtp://232.0.0.58:1234
女性时尚,rtp://232.0.0.51:1234
游戏竞技,rtp://232.0.0.112:1234
电子体育,rtp://232.0.0.24:1234
4K欢笑剧场,rtp://232.0.0.98:1234
生活时尚,rtp://232.0.0.107:1234
乐游,rtp://232.0.0.108:1234
游戏风云,rtp://232.0.0.127:1234
动漫秀场,rtp://232.0.0.128:1234
金色学堂,rtp://232.0.0.133:1234
法治天地,rtp://232.0.0.134:1234
都市剧场,rtp://232.0.0.149:1234
精选,rtp://232.0.0.102:1234
IPTV足球,rtp://232.0.0.213:1234
爱生活,rtp://232.0.0.148:1234
IPTV3(轮播),rtp://232.0.0.118:1234
IPTV5(轮播),rtp://232.0.0.119:1234
爱上4K,rtp://232.0.0.187:1234
谍战剧场,rtp://232.0.0.203:1234
地理,rtp://232.0.0.197:1234
怀旧电影,rtp://232.0.0.48:1234
劲爆电影,rtp://232.0.0.155:1234
党员教育,rtp://232.0.0.129:1234
抚顺综合,rtp://232.0.0.143:1234
抚顺教育,rtp://232.0.0.145:1234
大洼综合,rtp://232.0.0.146:1234
盘锦新闻,rtp://232.0.0.148:1234
辽河新闻综合,rtp://232.0.0.214:1234
辽河文化生活,rtp://232.0.0.215:1234
