内蒙古蒙古语卫视,rtp://239.125.1.66:5000
湖南卫视,rtp://239.125.1.170:4130
四川卫视,rtp://239.125.1.175:4130
卡酷动画,rtp://239.125.1.127:4130
深圳卫视,rtp://239.125.1.166:4130
宁夏卫视,rtp://239.125.1.157:4130
IPTV谍战剧场,rtp://239.125.1.130:4130
云南卫视,rtp://239.125.1.160:4130
重庆卫视,rtp://239.125.1.168:4130
河南卫视,rtp://239.125.1.156:4130
江西卫视,rtp://239.125.1.174:4130
爱综艺,rtp://239.125.1.120:4130
爱体育,rtp://239.125.1.122:4130
爱电影,rtp://239.125.1.124:4130
爱大剧,rtp://239.125.1.126:4130
海南卫视,rtp://239.125.1.165:4130
青海卫视,rtp://239.125.1.150:4130
IPTV野外,rtp://234.1.3.126:5000
甘肃卫视,rtp://239.125.1.151:4130
陕西卫视,rtp://239.125.1.155:4130
足球,rtp://239.125.1.51:5000
三沙卫视,rtp://239.125.1.180:4130
西藏卫视,rtp://239.125.1.117:4130
CETV4,rtp://239.125.1.110:4120
城市剧场,rtp://239.125.1.148:4130
古装剧场,rtp://239.125.1.146:4130
音乐现场,rtp://239.125.1.40:5000
星影,rtp://239.125.1.55:5000
武侠剧场,rtp://239.125.1.145:4130
动作影院,rtp://239.125.1.53:5000
地理,rtp://239.125.1.41:5000
新疆卫视,rtp://239.125.1.123:4130
军旅剧场,rtp://239.125.1.147:4130
金鹰卡通,rtp://239.125.1.128:4130
全纪实,rtp://239.125.1.38:5000
山东教育,rtp://239.125.1.178:4130
动漫秀场,rtp://239.125.1.31:5000
精选,rtp://239.125.1.43:5000
动画,rtp://239.125.1.45:5000
都市剧场,rtp://239.125.1.129:4130
IPTV少儿动画,rtp://239.125.1.121:4130
CCTV17,rtp://239.125.2.204:4120
金色频道,rtp://239.125.1.39:5000
喜剧影院,rtp://239.125.1.52:5000
早教,rtp://239.125.1.44:5000
家庭影院,rtp://239.125.1.54:5000
好学生,rtp://239.125.1.17:4120
魅力时尚,rtp://239.125.1.27:5000
好享购物,rtp://239.125.44.2:5000
游戏风云,rtp://239.125.1.33:5000
光影,rtp://239.125.1.49:5000
收视指南,rtp://239.125.44.3:5000
热播剧场,rtp://239.125.1.125:4130
CETV2,rtp://239.125.1.29:5000
嘉佳卡通,rtp://239.125.2.213:4120
IPTV法治,rtp://239.125.1.56:5000
杭锦旗,rtp://239.125.2.212:4120
乌审旗,rtp://239.125.2.194:4120
IPTV相声小品,rtp://239.125.1.30:5000
经典电影,rtp://239.125.1.28:5000
墨宝,rtp://239.125.1.48:5000
美人,rtp://239.125.44.9:4120
鉴赏,rtp://239.125.1.47:5000
IPTV5+,rtp://239.125.1.25:5000
优购物,rtp://239.125.1.138:4130
时尚购物,rtp://234.1.3.187:5000
家有购物,rtp://239.125.1.137:4130
聚鲨环球,rtp://239.125.1.136:4130
央广购物,rtp://239.125.2.14:4120
CCTV16-4K,rtp://239.125.2.218:4120
金鹰纪实,rtp://239.125.2.106:4134
中国教育-1,rtp://239.125.1.139:4130
CCTV4中文国际美洲,rtp://239.125.2.197:4120
CGTN英文纪录,rtp://239.125.2.199:4120
CGTN英语,rtp://239.125.2.198:4120
CCTV4中文国际欧洲,rtp://239.125.2.196:4120
CGTN西班牙语,rtp://239.125.2.200:4120
CGTN法语,rtp://239.125.2.201:4120
CGTN阿拉伯语,rtp://239.125.2.202:4120
CGTN俄语,rtp://239.125.2.203:4120
CCTV16,rtp://239.125.2.206:4120
爱生活,rtp://239.125.1.50:5000
爱上4K,rtp://239.125.1.24:5000
