CCTV1,rtp://239.37.0.254:5540
卡酷少儿,rtp://239.37.0.060:5540
金鹰卡通,rtp://239.37.0.061:5540
云南卫视,rtp://239.37.0.063:5540
哈哈炫动,rtp://239.37.0.065:5540
宁夏卫视,rtp://239.37.0.066:5540
佳佳卡通,rtp://239.37.0.067:5540
环球奇观,rtp://239.37.0.070:5540
武术世界,rtp://239.37.0.076:5540
靓装,rtp://239.37.0.087:5540
梨园频道,rtp://239.37.0.088:5540
无台标,rtp://239.37.0.089:5540
文化宝库,rtp://239.37.0.092:5540
国学频道,rtp://239.37.0.093:5540
吉林都市,rtp://239.37.0.102:5540
吉林生活,rtp://239.37.0.104:5540
吉林影视,rtp://239.37.0.103:5540
吉林公共新闻,rtp://239.37.0.106:5540
吉林乡村,rtp://239.37.0.105:5540
吉林7频道,rtp://239.37.0.107:5540
吉林篮球,rtp://239.37.0.216:5540
东北戏曲,rtp://239.37.0.109:5540
长影频道,rtp://239.37.0.125:5540
吉林教育,rtp://239.37.0.126:5540
农安综合,rtp://239.37.0.144:5540
扶余,rtp://239.37.0.180:5540
家有购物,rtp://239.37.0.110:5540
老故事,rtp://239.37.0.113:5540
延边卫视,rtp://239.37.0.116:5540
公共,rtp://239.37.0.251:5540
科教,rtp://239.37.0.129:5540
新闻综合,rtp://239.37.0.250:5540
四平1,rtp://239.37.0.130:5540
TTV1,rtp://239.37.0.132:5540
四平2,rtp://239.37.0.131:5540
TTV2,rtp://239.37.0.133:5540
TTV3,rtp://239.37.0.134:5540
白山公告2,rtp://239.37.0.138:5540
新闻综合1,rtp://239.37.0.137:5540
聚沙环球精选,rtp://239.37.0.139:5540
风尚购物,rtp://239.37.0.143:5540
集安综合,rtp://239.37.0.145:5540
9屏,rtp://239.37.0.149:5540
磐石,rtp://239.37.0.164:5540
图门1,rtp://239.37.0.166:5540
不认识,rtp://239.37.0.165:5540
梨树新闻,rtp://239.37.0.168:5540
tv1,rtp://239.37.0.167:5540
综合纪实,rtp://239.37.0.170:5540
双辽,rtp://239.37.0.169:5540
综合,rtp://239.37.0.172:5540
二人转,rtp://239.37.0.171:5540
梅河口,rtp://239.37.0.173:5540
看不清综合,rtp://239.37.0.175:5540
DFTV综合,rtp://239.37.0.179:5540
优购物,rtp://239.37.0.182:5540
时尚购物[1024*576],rtp://239.37.0.183:5540
乾安综合,rtp://239.37.0.181:5540
央广购物,rtp://239.37.0.184:5540
好享购物,rtp://239.37.0.185:5540
好像百事通体育,rtp://239.37.0.194:5540
体育,rtp://239.37.0.228:5540
三沙卫视,rtp://239.37.0.201:5540
吉智聚视,rtp://239.37.0.212:5540
购物,rtp://239.37.0.215:5540
星,rtp://239.37.0.220:5540
松原,rtp://239.37.0.246:5540
YBTV1,rtp://239.37.0.248:5540
YBTV2,rtp://239.37.0.249:5540
松原公共,rtp://239.37.0.247:5540
广告购物,rtp://239.37.0.253:5540
蛟河,rtp://239.37.0.252:5540
