联通,#genre#
河南卫视-标清,rtp://239.0.1.22:8128
浙江卫视标清,rtp://239.0.1.8:8284
浙江卫视高清,rtp://239.0.1.79:1234
深圳卫视标清,rtp://239.0.1.16:9244
深圳卫视高清,rtp://239.0.1.84:8020
湖北卫视-标清,rtp://239.0.1.17:8136
湖北卫视高清,rtp://239.0.1.88:1234
湖南卫视标清,rtp://239.0.1.7:8064
湖南卫视高清,rtp://239.0.1.78:8012
炫动卡通标清,rtp://239.0.1.42:5090
现代教育标清,rtp://239.0.1.61:5103
甘肃卫视标清,rtp://239.0.1.37:8188
移动频道标清,rtp://239.0.1.63:5101
西藏卫视标清,rtp://239.0.1.35:8164
财富天下标清,rtp://239.0.1.45:9136
贵州卫视-标清,rtp://239.0.1.20:8120
辽宁卫视-标清,rtp://239.0.1.18:8116
辽宁卫视高清,rtp://239.0.1.85:8056
重庆卫视-标清,rtp://239.0.1.24:8296
重庆卫视高清,rtp://239.0.1.91:5097
金鹰卡通标清,rtp://239.0.1.41:9252
金鹰纪实高清,rtp://239.0.1.92:5094
陕西卫视标清,rtp://239.0.1.29:8140
青海卫视标清,rtp://239.0.1.32:8184
黑龙江卫视-标清,rtp://239.0.1.19:8196
黑龙江卫视高清,rtp://239.0.1.86:8016
CCTV-3综艺标清,rtp://239.0.1.103:5052
CCTV-6电影标清,rtp://239.0.1.105:5054
CCTV-8电视剧,rtp://239.0.1.106:5055
熊猫频道,rtp://239.0.1.173:5178
极K精选-测试,rtp://239.0.10.206:5206
CCTV-4高清,rtp://239.0.1.180:6040
广西卫视高清,rtp://239.0.1.181:6041
CCTV-5体育标清,rtp://239.0.1.104:5053
精选频道3,rtp://239.0.1.202:5108
精选频道4,rtp://239.0.1.203:5107
广东综艺宽色域AVS2,rtp://239.0.1.138:5177
广东珠江高清,rtp://239.0.1.133:5172
广东珠江超清,rtp://239.0.1.134:5173
CCTV-17农业,rtp://239.0.1.192:9264
CETV2,rtp://239.0.1.210:4120
CETV4,rtp://239.0.1.211:4121
河源公共高清,rtp://239.0.1.236:5225
河源公共,rtp://239.0.1.237:5226
广东影视4K超高清频道,rtp://239.0.1.169:6030
CCTV-3高清测试,rtp://239.0.1.177:6037
CCTV-5高清测试,rtp://239.0.1.175:6035
CCTV-6高清测试,rtp://239.0.1.176:6036
CCTV-8高清测试,rtp://239.0.1.174:6034
